"Key","Meaning1","Meaning2","Meaning3","Meaning4","user_id"
"Abhinandaniy","अभिनंदनीय","commendable","praiseworthly","laudable",""
"Abhinay","आभिनय","acting","","",""
"Abhinav","अभिनव","modern","novel","new",""
"Abhinivesh","अभिनिवेश","pride","","",""
"Abhineta","अभिनेता","an actor","","",""
"Abhipray","अभिप्राय","a comment","view","opinion",""
"Abhipret","आभिप्रेत","implied","meant","",""
"Abhiman","अभिमान","pride","ego","self-esteem",""
"Abhiyanta","अभियंता","an engineer","","",""
"Abhiyan","अभियान","a campaign","drive","expedition",""
"Abhiyokta","अभियोक्ता","prosecutor","","",""
"Abhirakshak","अभिरक्षक","curator","","",""
"Abhiruchi","अभिरुची","taste","liking","penchant",""
"Abhilasha","अभिलाषा","desire","covet","wish for",""
"Abhilekh","अभिलेख","a record","written record","",""
"Abhivaadan","अभिवादन","compliments","greeting","regards",""
"Abhivruddhi","अभिवृद्धी","increase","growth","prosperity",""
"Abhishap","अभिशाप","a curse","","",""
"Abhishikta","अभिषिक्त","inaugurated","crowned","invested",""
"Abhishek","अभिषेक","coronation","inauguration","",""
"Abhisaran","अभिसरण","circulation","","",""
"Abhihastankan","अभिहास्तांकन","assignment","","",""
"Abhutpurva","अभूतपूर्व","unprecedent","phenomenal","unexampled",""
"Abhedya","अभेद्य","impregnable","strong ","secure",""
"Abhyagat","अभ्यागत","a visitor","guest","",""
"Abhyaskram","अभ्यासक्रम","syllabus","curriculum","",""
"Abhyasika","अभ्यासिका","a study","study room","",""
"Abhra","अभ्र","cloud","","",""
"Abhrak","अभ्रक","mica","","",""
"Amaka","अमका","so-and-so","such-and-such","",""
"Amangal","अमंगल","unauspicious","sinister","evil",""
"Amar","अमर","immortal","undying","perpetual",""
"Amartya","अमर्त्य","immortal","","",""
"Amaryad","अमर्याद","infinite","unbounded","endless",""
"Amaryadit","अमर्यादित","infinite","unbounded","endless",""
"Ammal","अंमल","practice","rule","reign",""
"Ammaldar","अंमलदार","an officer","","",""
"Amali","अमली","implementation","execution","enforcement",""
"Amatya","अमात्य","a minister","","",""
"Amanush","अमानुष","brutal","inhuman","savage",""
"Amaap","अमाप","immeasurable","incalculable","extensive",""
"Amaavasya","अमावस्या","the new moon day","","",""
"Amir","अमीर","a nobleman","peer","",""
"Amirumarav","अमीरउमराव","the nobality","aristocracy","",""
"Amuk","अमुक","certain","","",""
"Amurta","अमूर्त","intangible","abstract","bodiless",""
"Amulya","अमूल्य","invaluable","priceless","precious",""
"Amrut","अमृत","intangible","abstract","immaterial",""
"Amogh","अमोघ","infalliable","unerring","unfailing",""
"Amol","अमोल","priceless","invaluable","precious",""
"Apayashvi","अपशस्वी","abortive","fruitless","futile",""
"Aayal","आयाळ","mane","","",""
"Ayogya","अयोग्य","ineligible","unqualified","incompetent",""
"Aranya","अरण्य","wilderness","wilds","jungle",""
"Arabi","अरबी","arabian","arabic","",""
"Arvind","अरविंद","lotus","","",""
"Arashi","अरशी","spectacles","","",""
"Arasik","अरसिक","uncultivated","unelightened","lowbrow",""
"Arajak","अराजक","anarchy","lawlessness","chaos",""
"Arajkiy","अराजकीय","apolitical","non-political","unpolitical",""
"Arishta","अरिष्ट","disaster","calamity","woes",""
"Aruchi","अरुची","dislike","distaste","aversion",""
"Arunodaya","अरुणोदय","dawn","daybreak","",""
"Arunda","अरुंद","narrow","","",""
"Are","अरे","hello","hii","hey",""
"Arerav","अरेराव","a bully","","",""
"Aark","आर्क","extract","concentrate","essence",""
"Arja","अर्ज","an application","a petition","",""
"Arjadar","अर्जदार","an application","petitioner","",""
"Artha","अर्थ","meaning","sense","point",""
"Arthagarbha","अर्थगर्भ","significant","pregnant","meaningful",""
"Arthachata","अर्थछटा","a shade of meaning","","",""
"Arthapurn","अर्थपूर्ण","meaningful","","",""
"Arthamantri","अर्थमंत्री","finance minister","","",""
"Arthavyavastha","अर्थव्यवस्था","the economy","","",""
"Arthashunya","अर्थशुन्य","meaningless","without meaning","purposeless",""
"Arthasankalp","अर्थसंकाल्प","budget","","",""
"Arthahin","अर्थहीन","meaningless","without meaning","purposeless",""
"Ardh","अर्ध","half-","semi-","hemi-",""
"Ardhgol","अर्धगोल","hemisphere","semicircle","",""
"Ardhachandra","अर्धचंद्र","dismisal","half-moon","",""
"Ardhanangn","अर्धनग्न","semi-nude","","",""
"Ardhaputala","अर्धपुतळा","bust","","",""
"Ardhapoti","अर्धपोटी","on a half stomach","","",""
"Ardhavat","अर्धवट","incomplete","unfinished","sketchy",""
"Ardhavartul","अर्धवर्तुळ","a semi-circle","","",""
"Ardhaviramchinha","अर्धविरामचिन्ह","semicolan","","",""
"Ardhasaptahik","अर्धासाप्ताहिक","half-weekly","","",""
"Ardhasainik","अर्धसैनिक","paramilitary","","",""
"Ardha","अर्धा","half","","",""
"Ardhangvaayu","अर्धांगवायु","paralysis","palsy","",""
"Ardhangini","अर्धागिनी","one's better half","wife","",""
"Arpan","अर्पण","to dedicate","devote","to present",""
"Arbhak","अर्भक","an infant","babe","baby",""
"Alankar","अलंकार","an ornament","jewel","adoment",""
"Alankarprachur","अलंकारप्रचुर","ornate","flowery","high-flown",""
"Alankarik","अलंकारिक","figurative","ornamental","decoravtive",""
"Alankrut","अलंकृत","decorated","adorned","embellished",""
"Alag","अलग","separate","isolated","detached",""
"Alagad","अलगद","softly","gently","lightly",""
"Alguj","अलगुज","a pipe","","",""
"Alabhya","अलभ्य","unobtainable","unattainable","",""
"Aalmari","आलमारी","a cupboard","closet","bookcase",""
"Alikhit","अलिखित","unwritten","","",""
"Alingi","अंलिगी","asexual","","",""
"Alipt","अलिप्त","aloof","separate","detached",""
"Alaingik","अलैगिक","asexual","","",""
"Alot","अलोट","immense","huge","large",""
"Alkadharmi","अल्कधर्मी","alkaline","","",""
"Alp","अल्प","small","a little","faint",""
"Alpakalin","आल्पकालीन","short-term","temporary","",""
"Alpabachat","अल्पबचत","ephemeral","transient","short-lived",""
"Alpayushi","अल्पायुषी","ephemeral","short-lived","",""
"Alpavadhi","अल्पावधी","short-term","","",""
"Alpopahar","अल्पोपहार","short-term","","",""
"Alyad","अल्याड","on this side","","",""
"Avakala","अवकळा","misery","plight","dire state",""
"Avakash","अवकाश","space","interval","leisure",""
"Avakashayatra","अवकाशयात्रा","space travel","space journey","",""
"Avakashyaan","अवकाशयान","spacecraft","spaceship","",""
"Avakali","अवकाळी","erratic","freak","",""
"Avakrupa","अवकृपा","displeasure","disfavour","wrath",""
"Avakhal","अवखळ","mischievous","playful","wayward",""
"Avgunthul","अवगुंठन","covering","casing","",""
"Avagun","अवगुण","vise","fault","defect",""
"Avaghad","अवघड","hard","difficult","clumsy",""
"Avagha","अवघा","entire","whole","total",""
"Avajad","अवजड","heavy","cumbersome","unwieldy",""
"Avajaar","अवजार","an implement","a tool","",""
"Avataran","अवतरण","citation","quotation","extract",""
"Avataar","अवतार","incarnation","appearance","",""
"Avatibhovati","अवतीभोवती","all around","round","about",""
"Avitirn","अवितीर्ण","descended","","",""
"Avadasha","अवदशा","misfortune","dire state","",""
"Avadhan","अवधान","attention","","",""
"Avanati","अवनती","decline","deterioration","degeneration",""
"Avamaan","अवमान","disrespect","slight","insubordination",""
"Avamulyan","अवमूल्यन","devaluation","","",""
"Avayav","अवयव","a part","a member","",""
"Avayask","अवयस्क","a minor","","",""
"Avaruddha","अवरुद्ध","blocked ","choked","obstructed",""
"Avarodh","अवरोध","blocking","blockage","obstruction",""
"Avarohan","अवरोहन","descent","descending","",""
"Avarshan","अवर्षण","drought","","",""
"Avalamb","अवलंब","recourse","resort","",""
"Avalakshan","अवलक्षण","a bad omen","","",""
"Avalaad","अवलाद","progeny","offspring","",""
"Avalokan","अवलोकन","observation","contemplation","",""
"Avashishta","अवशिष्ट","residual","remaining","leftover",""
"Avashesh","अवशेष","a relic","remnant","residue",""
"Aavashya","आवश्य","certainly","without fail","",""
"Avasar","अवसर","occasion","opportunity","chance",""
"Avasaan","अवसान","courage","grits","pluck",""
"Avastha","अवस्था","condition","state","phase",""
"Avahelana","अवहेलना","contempt","slight","indignity",""
"Avadnya","अवज्ञा","disobedience","disrespect","irreverence",""
"Avaak","अवाक","speechless","nonplussed","astouned",""
"Avaajavi","अवाजवी","unreasonable","adsurd","outrageous",""
"Avaadhavya","अवाढव्य","huge","gaint","colossal",""
"Avaantar","अवांतर","extra","additional","secondary",""
"Avaastav","अवास्तव","unreal","","",""
"Avikasit","अविकसित","undeveloped","rudimentary","",""
"Avichal","अविचल","constant","firm","resolute",""
"Avichar","अविचार","thoughtless","imprudent","careless",""
"Avinashi","अविनाशी","immortal","indestructable","everlasting",""
"Avibhakt","अविभक्त","joint","undivided","united",""
"Avibhajya","अविभाज्य","integral","inseperable","indivisible",""
"Avirodh","अविरोध","unanimously","","",""
